# {'li': 1, 'lf': 1, 'xc': 2.5e-08, 'yc': 2.5e-08}
# omega	gamma
4.483333333333333500e+15 7.910066742408699447e+00
4.500000000000000000e+15 8.023402591816909180e+00
4.516666666666667000e+15 7.802739786050620019e+00
4.533333333333334000e+15 7.298330751758676627e+00
4.550000000000000000e+15 6.612634410950307462e+00
4.566666666666667000e+15 5.854825975228297175e+00
4.583333333333334000e+15 5.108498439014083736e+00
4.600000000000000000e+15 4.422862960691996470e+00
4.616666666666667000e+15 3.818985092454583175e+00
4.633333333333334000e+15 3.300096277949250645e+00
4.650000000000000000e+15 2.860184423051888025e+00
4.666666666666667000e+15 2.489518985344117308e+00
4.683333333333334000e+15 2.177670577856055889e+00
4.700000000000000000e+15 1.914932597878499454e+00
4.716666666666667000e+15 1.692855579920798270e+00
4.733333333333334000e+15 1.504339057403058844e+00
4.750000000000000000e+15 1.343528255283078732e+00
4.766666666666667000e+15 1.205642154730929283e+00
4.783333333333334000e+15 1.086792628759815971e+00
4.800000000000000000e+15 9.838197363784165761e-01
4.816666666666667000e+15 8.941513588212235408e-01
4.833333333333334000e+15 8.156876752343767967e-01
4.850000000000000000e+15 7.467078804477835785e-01
4.866666666666667000e+15 6.857956313890681832e-01
4.883333333333334000e+15 6.317797551865068639e-01
4.900000000000000000e+15 5.836871690158690340e-01
4.916666666666667000e+15 5.407054740695880213e-01
4.933333333333333000e+15 5.021531752878881649e-01
4.950000000000000000e+15 4.674559015029194353e-01
4.966666666666667000e+15 4.361273485671273153e-01
4.983333333333334000e+15 4.077539463781600926e-01
5.000000000000000000e+15 3.819824698737300794e-01
5.016666666666667000e+15 3.585099850836693802e-01
5.033333333333334000e+15 3.370756541426008224e-01
5.050000000000000000e+15 3.174540261209123915e-01
5.066666666666667000e+15 2.994495203366751568e-01
5.083333333333333000e+15 2.828918707512621533e-01
5.100000000000000000e+15 2.676323482301860013e-01
5.116666666666667000e+15 2.535406150309057471e-01
5.133333333333334000e+15 2.405020952866691597e-01
5.150000000000000000e+15 2.284157683487886559e-01
5.166666666666667000e+15 2.171923100516941763e-01
5.183333333333333000e+15 2.067525213669617334e-01
5.200000000000000000e+15 1.970259953514678641e-01
5.216666666666667000e+15 1.879499824164491406e-01
5.233333333333334000e+15 1.794684212458783623e-01
5.250000000000000000e+15 1.715311085602637675e-01
5.266666666666667000e+15 1.640929856550661370e-01
5.283333333333333000e+15 1.571135234753798238e-01
5.300000000000000000e+15 1.505561911028630850e-01
5.316666666666667000e+15 1.443879950710868498e-01
5.333333333333334000e+15 1.385790790044360288e-01
5.350000000000000000e+15 1.331023747831636961e-01
5.366666666666667000e+15 1.279332978442228597e-01
5.383333333333333000e+15 1.230494803907187795e-01
5.400000000000000000e+15 1.184305372475846774e-01
5.416666666666667000e+15 1.140578599037163771e-01
5.433333333333333000e+15 1.099144349505332546e-01
5.450000000000000000e+15 1.059846836874701187e-01
5.466666666666666000e+15 1.022543201353527942e-01
5.483333333333333000e+15 9.871022509455069927e-02
5.500000000000000000e+15 9.534033421894787252e-02
