# {'li': 1, 'lf': 1, 'xc': -2e-08, 'yc': -2e-08}
# omega	gamma
5.283333333333333000e+15 2.620975197503633281e-02
5.300000000000000000e+15 2.529813260816752771e-02
5.316666666666667000e+15 2.443049187458643315e-02
5.333333333333334000e+15 2.360407765462668034e-02
5.350000000000000000e+15 2.281635011341568570e-02
5.366666666666667000e+15 2.206496223422134417e-02
5.383333333333333000e+15 2.134774241914390996e-02
5.400000000000000000e+15 2.066267890789297290e-02
5.416666666666667000e+15 2.000790579897375812e-02
5.433333333333333000e+15 1.938169048620209250e-02
5.450000000000000000e+15 1.878242234787668233e-02
5.466666666666666000e+15 1.820860254683765930e-02
5.483333333333333000e+15 1.765883481757054424e-02
5.500000000000000000e+15 1.713181713194966010e-02
