# {'li': 1, 'lf': 1, 'xc': -1e-08, 'yc': -1e-08}
# omega	gamma
3.000000000000000000e+15 1.900523767343312853e-01
3.016666666666666500e+15 1.951781230588315874e-01
3.033333333333333500e+15 2.005116178238023072e-01
3.050000000000000000e+15 2.060644686912230517e-01
3.066666666666666500e+15 2.118491061722812818e-01
3.083333333333333500e+15 2.178788546365613421e-01
3.100000000000000000e+15 2.241680105637173792e-01
3.116666666666666500e+15 2.307319288922992928e-01
3.133333333333333500e+15 2.375871184352306431e-01
3.150000000000000000e+15 2.447513474635407416e-01
3.166666666666666500e+15 2.522437607124273784e-01
3.183333333333333000e+15 2.600850092397066216e-01
3.200000000000000000e+15 2.682973947706759899e-01
3.216666666666666500e+15 2.769050303998975560e-01
3.233333333333333000e+15 2.859340197954777785e-01
3.250000000000000000e+15 2.954126573718966475e-01
3.266666666666666500e+15 3.053716522717446202e-01
3.283333333333333000e+15 3.158443794349027889e-01
3.300000000000000000e+15 3.268671615478326853e-01
3.316666666666666500e+15 3.384795862704348401e-01
3.333333333333333000e+15 3.507248638510912508e-01
3.349999999999999500e+15 3.636502310836937646e-01
3.366666666666666500e+15 3.773074085599499305e-01
3.383333333333333000e+15 3.917531193583478344e-01
3.399999999999999500e+15 4.070496787273315542e-01
3.416666666666666500e+15 4.232656660131585702e-01
3.433333333333333000e+15 4.404766921127084012e-01
3.449999999999999500e+15 4.587662781725629912e-01
3.466666666666667000e+15 4.782268642005380599e-01
3.483333333333333500e+15 4.989609698198583243e-01
3.500000000000000000e+15 5.210825337238511601e-01
3.516666666666667000e+15 5.447184636614886832e-01
3.533333333333333500e+15 5.700104352303038135e-01
3.550000000000000000e+15 5.971169856618588900e-01
3.566666666666667000e+15 6.262159585234151615e-01
3.583333333333333500e+15 6.575073672951339265e-01
3.600000000000000000e+15 6.912167607132407854e-01
3.616666666666667000e+15 7.275991913628399033e-01
3.633333333333333500e+15 7.669439122477994530e-01
3.650000000000000000e+15 8.095799552346105710e-01
3.666666666666667000e+15 8.558827820156809096e-01
3.683333333333333500e+15 9.062822447120163494e-01
3.700000000000000000e+15 9.612721522307514643e-01
3.716666666666667000e+15 1.021421813653670352e+00
3.733333333333333500e+15 1.087390026011541444e+00
3.750000000000000000e+15 1.159942096990860927e+00
3.766666666666667000e+15 1.239970651474744834e+00
3.783333333333333500e+15 1.328521174741873923e+00
3.800000000000000000e+15 1.426823507945358838e+00
3.816666666666666500e+15 1.536330849904787410e+00
3.833333333333333000e+15 1.658768253719864916e+00
3.850000000000000000e+15 1.796193160987333171e+00
3.866666666666666500e+15 1.951071215362934819e+00
3.883333333333333000e+15 2.126371461035740484e+00
3.900000000000000000e+15 2.325686062175652324e+00
3.916666666666666500e+15 2.553380830460147077e+00
3.933333333333333000e+15 2.814783964131628125e+00
3.950000000000000000e+15 3.116421095736755298e+00
3.966666666666666500e+15 3.466304151695654312e+00
3.983333333333333000e+15 3.874277828430266801e+00
4.000000000000000000e+15 4.352417018371467883e+00
4.016666666666666500e+15 4.915444104771352407e+00
4.033333333333333000e+15 5.581083169097289520e+00
4.050000000000000500e+15 6.370164597683452889e+00
4.066666666666667000e+15 7.306098558256413078e+00
4.083333333333333500e+15 8.412994968094146486e+00
4.100000000000000500e+15 9.711180984808640559e+00
4.116666666666667000e+15 1.120824592503728923e+01
4.133333333333333500e+15 1.288356465847759758e+01
4.150000000000000500e+15 1.466604992527710216e+01
4.166666666666667000e+15 1.641134347348547706e+01
4.183333333333333500e+15 1.789680291701212411e+01
4.200000000000000500e+15 1.886129487472934230e+01
4.216666666666667000e+15 1.909816830457635106e+01
4.233333333333333500e+15 1.855575989383732605e+01
4.250000000000000500e+15 1.736632517350750504e+01
4.266666666666667000e+15 1.577705941944663870e+01
4.283333333333333500e+15 1.404329328731225068e+01
4.300000000000000500e+15 1.235684536910164333e+01
4.316666666666666500e+15 1.082916471047157358e+01
4.333333333333333500e+15 9.507589979837574035e+00
4.350000000000000500e+15 8.399558221498637067e+00
4.366666666666666500e+15 7.492076439214885752e+00
4.383333333333333500e+15 6.763728068182461861e+00
4.400000000000000000e+15 6.190513326035846475e+00
4.416666666666666500e+15 5.747454409064206793e+00
4.433333333333333500e+15 5.407569642811710153e+00
4.450000000000000000e+15 5.139826122370038775e+00
4.466666666666666500e+15 4.908410167851569916e+00
4.483333333333333500e+15 4.676252541994890599e+00
4.500000000000000000e+15 4.413837698725449066e+00
4.516666666666667000e+15 4.108928820306278595e+00
4.533333333333334000e+15 3.769275606273821744e+00
4.550000000000000000e+15 3.415414422875019618e+00
4.566666666666667000e+15 3.069503547491739592e+00
4.583333333333334000e+15 2.747732811533174058e+00
4.600000000000000000e+15 2.458447951410792864e+00
4.616666666666667000e+15 2.203770445907752951e+00
4.633333333333334000e+15 1.982071522920474393e+00
4.650000000000000000e+15 1.789965578724924011e+00
4.666666666666667000e+15 1.623549415395770357e+00
4.683333333333334000e+15 1.479046847243198348e+00
4.700000000000000000e+15 1.353084630298710733e+00
4.716666666666667000e+15 1.242770371287834408e+00
4.733333333333334000e+15 1.145676556324459305e+00
4.750000000000000000e+15 1.059787123993649383e+00
4.766666666666667000e+15 9.834344873292755196e-01
4.783333333333334000e+15 9.152394670557811862e-01
4.800000000000000000e+15 8.540588067492240754e-01
4.816666666666667000e+15 7.989412719188344614e-01
4.833333333333334000e+15 7.490917676055224295e-01
4.850000000000000000e+15 7.038423600456285012e-01
4.866666666666667000e+15 6.626290027028982621e-01
4.883333333333334000e+15 6.249728721039146118e-01
4.900000000000000000e+15 5.904653852618203524e-01
4.916666666666667000e+15 5.587561407803650626e-01
4.933333333333333000e+15 5.295431774856540486e-01
4.950000000000000000e+15 5.025650712282041521e-01
4.966666666666667000e+15 4.775944928796681532e-01
4.983333333333334000e+15 4.544329316551647957e-01
5.000000000000000000e+15 4.329063514711163907e-01
5.016666666666667000e+15 4.128615976207660743e-01
5.033333333333334000e+15 3.941634096224704287e-01
5.050000000000000000e+15 3.766919261143115150e-01
5.066666666666667000e+15 3.603405910680803625e-01
5.083333333333333000e+15 3.450143888836992301e-01
5.100000000000000000e+15 3.306283502659034257e-01
5.116666666666667000e+15 3.171062820730604082e-01
5.133333333333334000e+15 3.043796832494575222e-01
5.150000000000000000e+15 2.923868160336570154e-01
5.166666666666667000e+15 2.810719072806336927e-01
5.183333333333333000e+15 2.703844592556351456e-01
5.200000000000000000e+15 2.602786528929675880e-01
5.216666666666667000e+15 2.507128294494641030e-01
5.233333333333334000e+15 2.416490388644758069e-01
5.250000000000000000e+15 2.330526450789302817e-01
5.266666666666667000e+15 2.248919801534323137e-01
5.283333333333333000e+15 2.171380403292101080e-01
5.300000000000000000e+15 2.097642182507122866e-01
5.316666666666667000e+15 2.027460664583997652e-01
5.333333333333334000e+15 1.960610879993911759e-01
5.350000000000000000e+15 1.896885506197890370e-01
5.366666666666667000e+15 1.836093215180060467e-01
5.383333333333333000e+15 1.778057200710569941e-01
5.400000000000000000e+15 1.722613863101463694e-01
5.416666666666667000e+15 1.669611632296585380e-01
5.433333333333333000e+15 1.618909912744119495e-01
5.450000000000000000e+15 1.570378135716703483e-01
5.466666666666666000e+15 1.523894906632377866e-01
5.483333333333333000e+15 1.479347236543347432e-01
5.500000000000000000e+15 1.436629848342449167e-01
