# {'li': 1, 'lf': 1, 'xc': 0.0, 'yc': 0.0}
# omega	gamma
5.216666666666667000e+15 3.537222205400658126e+00
5.233333333333334000e+15 3.379231816794163290e+00
5.250000000000000000e+15 3.231343906622477391e+00
5.266666666666667000e+15 3.092723430827064135e+00
5.283333333333333000e+15 2.962619221095261768e+00
5.300000000000000000e+15 2.840354146891821863e+00
5.316666666666667000e+15 2.725316588251237349e+00
5.333333333333334000e+15 2.616953024930877003e+00
5.350000000000000000e+15 2.514761579124914714e+00
5.366666666666667000e+15 2.418286374978397379e+00
5.383333333333333000e+15 2.327112599667659598e+00
5.400000000000000000e+15 2.240862168666335030e+00
5.416666666666667000e+15 2.159189912669444489e+00
5.433333333333333000e+15 2.081780216041210885e+00
5.450000000000000000e+15 2.008344047024912982e+00
5.466666666666666000e+15 1.938616328658302468e+00
5.483333333333333000e+15 1.872353606664646453e+00
5.500000000000000000e+15 1.809331976772812434e+00
