# {'li': 1, 'lf': 1, 'xc': 2e-08, 'yc': 2e-08}
# omega	gamma
4.700000000000000000e+15 6.625386794074179519e+00
4.716666666666667000e+15 5.859099561243632515e+00
4.733333333333334000e+15 5.208505226729355897e+00
4.750000000000000000e+15 4.653439721998216427e+00
4.766666666666667000e+15 4.177431749484327383e+00
4.783333333333334000e+15 3.767082670836554126e+00
4.800000000000000000e+15 3.411500853240869713e+00
4.816666666666667000e+15 3.101819136435489899e+00
4.833333333333334000e+15 2.830797425134955692e+00
4.850000000000000000e+15 2.592501637729366593e+00
4.866666666666667000e+15 2.382047016612244494e+00
4.883333333333334000e+15 2.195393922851375024e+00
4.900000000000000000e+15 2.029185648290862787e+00
4.916666666666667000e+15 1.880619527099515409e+00
4.933333333333333000e+15 1.747344304496258660e+00
4.950000000000000000e+15 1.627378171693720565e+00
4.966666666666667000e+15 1.519043071062571304e+00
4.983333333333334000e+15 1.420911832217872872e+00
5.000000000000000000e+15 1.331765453433955582e+00
5.016666666666667000e+15 1.250558431170516016e+00
5.033333333333334000e+15 1.176390497609130614e+00
5.050000000000000000e+15 1.108483480539586008e+00
5.066666666666667000e+15 1.046162274748088539e+00
5.083333333333333000e+15 9.888391273964906025e-01
5.100000000000000000e+15 9.360006058531499251e-01
5.116666666666667000e+15 8.871967459157640290e-01
5.133333333333334000e+15 8.420319797030496600e-01
5.150000000000000000e+15 8.001575220800271060e-01
5.166666666666667000e+15 7.612649572201763970e-01
5.183333333333333000e+15 7.250808165525648441e-01
5.200000000000000000e+15 6.913619787779385906e-01
5.216666666666667000e+15 6.598917540867553777e-01
5.233333333333334000e+15 6.304765398888640959e-01
5.250000000000000000e+15 6.029429555978659261e-01
5.266666666666667000e+15 5.771353803358301171e-01
5.283333333333333000e+15 5.529138306408841741e-01
5.300000000000000000e+15 5.301521260018269288e-01
5.316666666666667000e+15 5.087362988051925550e-01
5.333333333333334000e+15 4.885632124512736540e-01
5.350000000000000000e+15 4.695393572856743081e-01
5.366666666666667000e+15 4.515797988465013457e-01
5.383333333333333000e+15 4.346072569403571784e-01
5.400000000000000000e+15 4.185512973885728294e-01
5.416666666666667000e+15 4.033476210542656926e-01
5.433333333333333000e+15 3.889374370715089069e-01
5.450000000000000000e+15 3.752669091319599248e-01
5.466666666666666000e+15 3.622866653074895416e-01
5.483333333333333000e+15 3.499513632535241059e-01
5.500000000000000000e+15 3.382193037909194122e-01
