# {'li': -1, 'lf': -1, 'xc': 0.0, 'yc': 0.0}
# omega	gamma
3.966666666666666500e+15 8.041522275823952626e+00
3.983333333333333000e+15 8.628383256315551364e+00
4.000000000000000000e+15 9.285372073429853046e+00
4.016666666666666500e+15 1.002421262567202298e+01
4.033333333333333000e+15 1.085887604009409557e+01
4.050000000000000500e+15 1.180583466316705454e+01
4.066666666666667000e+15 1.288409087615065118e+01
4.083333333333333500e+15 1.411467054709518543e+01
4.100000000000000500e+15 1.551902987149219548e+01
4.116666666666667000e+15 1.711552702102719081e+01
4.133333333333333500e+15 1.891298481448675162e+01
4.150000000000000500e+15 2.090110102747740228e+01
4.166666666666667000e+15 2.304029364200626162e+01
4.183333333333333500e+15 2.525911609521467227e+01
4.200000000000000500e+15 2.747175281968382521e+01
4.216666666666667000e+15 2.962050557024001307e+01
4.233333333333333500e+15 3.172398867007393974e+01
4.250000000000000500e+15 3.389522281661752601e+01
4.266666666666667000e+15 3.631581421214609406e+01
4.283333333333333500e+15 3.919158424277367203e+01
4.300000000000000500e+15 4.272252876164257174e+01
4.316666666666666500e+15 4.709658431821245017e+01
4.333333333333333500e+15 5.249691492745586885e+01
4.350000000000000500e+15 5.910871451513056485e+01
4.366666666666666500e+15 6.711426496329548286e+01
4.383333333333333500e+15 7.666547403083654899e+01
4.400000000000000000e+15 8.782016605294444389e+01
4.416666666666666500e+15 1.004268252998538742e+02
4.433333333333333500e+15 1.139545703134688210e+02
4.450000000000000000e+15 1.273118954277987456e+02
4.466666666666666500e+15 1.387900355843567581e+02
4.483333333333333500e+15 1.463417375788413892e+02
4.500000000000000000e+15 1.482829342216368502e+02
4.516666666666667000e+15 1.440951180206926381e+02
4.533333333333334000e+15 1.347088789378064178e+02
4.550000000000000000e+15 1.220111694891158720e+02
4.566666666666667000e+15 1.080085344965897889e+02
4.583333333333334000e+15 9.423467929344963068e+01
4.600000000000000000e+15 8.159038496480525282e+01
4.616666666666667000e+15 7.045927266218767215e+01
4.633333333333334000e+15 6.089782392002101830e+01
4.650000000000000000e+15 5.279335185384609019e+01
4.666666666666667000e+15 4.596544650747213012e+01
4.683333333333334000e+15 4.022132564562326706e+01
4.700000000000000000e+15 3.538182961141754390e+01
4.716666666666667000e+15 3.129113886423782986e+01
4.733333333333334000e+15 2.781838795653868246e+01
4.750000000000000000e+15 2.485571536829862893e+01
4.766666666666667000e+15 2.231506854656581496e+01
4.783333333333334000e+15 2.012485625489686214e+01
4.800000000000000000e+15 1.822690561654536978e+01
4.816666666666667000e+15 1.657387170194513715e+01
4.833333333333334000e+15 1.512710708139638349e+01
4.850000000000000000e+15 1.385494246145314889e+01
4.866666666666667000e+15 1.273131307354873520e+01
4.883333333333334000e+15 1.173466659383215926e+01
4.900000000000000000e+15 1.084709620589292811e+01
4.916666666666667000e+15 1.005365194491686331e+01
4.933333333333333000e+15 9.341792527045582162e+00
4.950000000000000000e+15 8.700947690647664601e+00
4.966666666666667000e+15 8.122167502859465316e+00
4.983333333333334000e+15 7.597840221973550356e+00
5.000000000000000000e+15 7.121464348778530074e+00
5.016666666666667000e+15 6.687463652902676969e+00
5.033333333333334000e+15 6.291036408010587166e+00
5.050000000000000000e+15 5.928031966556603471e+00
5.066666666666667000e+15 5.594849274770267833e+00
5.083333333333333000e+15 5.288353069205550483e+00
5.100000000000000000e+15 5.005804383257225432e+00
5.116666666666667000e+15 4.744802683861473191e+00
5.133333333333334000e+15 4.503237499882902561e+00
5.150000000000000000e+15 4.279247828702126277e+00
